Título,Autor
DON QUIXOTE,Miguel de Cervantes
ALICE'S ADVENTURES IN WONDERLAND,Lewis Carroll
THE ADVENTURES OF HUCKLEBERRY FINN,Mark Twain
THE ADVENTURES OF TOM SAWYER,Mark Twain
TREASURE ISLAND,Robert Louis Stevenson
PRIDE AND PREJUDICE,Jane Austen
WUTHERING HEIGHTS,Emily Brontë
JANE EYRE,Charlotte Brontë
MOBY DICK,Herman Melville
THE SCARLET LETTER,Nathaniel Hawthorne
GULLIVER'S TRAVELS,Jonathan Swift
THE PILGRIM'S PROGRESS,John Bunyan
A CHRISTMAS CAROL,Charles Dickens
DAVID COPPERFIELD,Charles Dickens
A TALE OF TWO CITIES,Charles Dickens
LITTLE WOMEN,Louisa May Alcott
GREAT EXPECTATIONS,Charles Dickens
"THE HOBBIT, OR, THERE AND BACK AGAIN",J.R.R. Tolkien
"FRANKENSTEIN, OR, THE MODERN PROMETHEUS",Mary Shelley
OLIVER TWIST,Charles Dickens
UNCLE TOM'S CABIN,Harriet Beecher Stowe
CRIME AND PUNISHMENT,Fyodor Dostoyevsky
MADAME BOVARY: PATTERNS OF PROVINCIAL LIFE,Gustave Flaubert
THE RETURN OF THE KING,J.R.R. Tolkien
DRACULA,Bram Stoker
THE THREE MUSKETEERS,Alexandre Dumas
BRAVE NEW WORLD,Aldous Huxley
WAR AND PEACE,Leo Tolstoy
TO KILL A MOCKINGBIRD,Harper Lee
THE WIZARD OF OZ,L. Frank Baum
LES MISÉRABLES,Victor Hugo
THE SECRET GARDEN,Frances Hodgson Burnett
ANIMAL FARM,George Orwell
THE GREAT GATSBY,F. Scott Fitzgerald
THE LITTLE PRINCE,Antoine de Saint-Exupéry
THE CALL OF THE WILD,Jack London
"20,000 LEAGUES UNDER THE SEA",Jules Verne
ANNA KARENINA,Leo Tolstoy
THE WIND IN THE WILLOWS,Kenneth Grahame
THE PICTURE OF DORIAN GRAY,Oscar Wilde
THE GRAPES OF WRATH,John Steinbeck
SENSE AND SENSIBILITY,Jane Austen
THE LAST OF THE MOHICANS,James Fenimore Cooper
TESS OF THE D'URBERVILLES,Thomas Hardy
HARRY POTTER AND THE SORCERER'S STONE,J.K. Rowling
HEIDI,Johanna Spyri
ULYSSES,James Joyce
THE COMPLETE SHERLOCK HOLMES,Arthur Conan Doyle
THE COUNT OF MONTE CRISTO,Alexandre Dumas
THE OLD MAN AND THE SEA,Ernest Hemingway
"THE LION, THE WITCH, AND THE WARDROBE",C.S. Lewis
THE HUNCHBACK OF NOTRE DAME,Victor Hugo
PINOCCHIO,Carlo Collodi
ONE HUNDRED YEARS OF SOLITUDE,Gabriel García Márquez
IVANHOE,Walter Scott
THE RED BADGE OF COURAGE,Stephen Crane
ANNE OF GREEN GABLES,L.M. Montgomery
BLACK BEAUTY,Anna Sewell
PETER PAN,J.M. Barrie
A FAREWELL TO ARMS,Ernest Hemingway
THE HOUSE OF THE SEVEN GABLES,Nathaniel Hawthorne
LORD OF THE FLIES,William Golding
THE PRINCE AND THE PAUPER,Mark Twain
A PORTRAIT OF THE ARTIST AS A YOUNG MAN,James Joyce
LORD JIM,Joseph Conrad
HARRY POTTER AND THE CHAMBER OF SECRETS,J.K. Rowling
THE RED & THE BLACK,Stendhal
THE STRANGER,Albert Camus
THE TRIAL,Franz Kafka
LADY CHATTERLEY'S LOVER,D.H. Lawrence
KIDNAPPED: THE ADVENTURES OF DAVID BALFOUR,Robert Louis Stevenson
THE CATCHER IN THE RYE,J.D. Salinger
FAHRENHEIT 451,Ray Bradbury
A JOURNEY TO THE CENTER OF THE EARTH,Jules Verne
VANITY FAIR,William Makepeace Thackeray
ALL QUIET ON THE WESTERN FRONT,Erich Maria Remarque
GONE WITH THE WIND,Margaret Mitchell
MY ÁNTONIA,Willa Cather
OF MICE AND MEN,John Steinbeck
THE VICAR OF WAKEFIELD,Oliver Goldsmith
A CONNECTICUT YANKEE IN KING ARTHUR'S COURT,Mark Twain
WHITE FANG,Jack London
FATHERS AND SONS,Ivan Sergeevich Turgenev
DOCTOR ZHIVAGO,Boris Leonidovich Pasternak
THE DECAMERON,Giovanni Boccaccio
NINETEEN EIGHTY-FOUR,George Orwell
THE JUNGLE,Upton Sinclair
THE DA VINCI CODE,Dan Brown
PERSUASION,Jane Austen
MANSFIELD PARK,Jane Austen
CANDIDE,Voltaire
FOR WHOM THE BELL TOLLS,Ernest Hemingway
FAR FROM THE MADDING CROWD,Thomas Hardy
THE FELLOWSHIP OF THE RING,J.R.R. Tolkien
THE RETURN OF THE NATIVE,Thomas Hardy
SONS AND LOVERS,D.H. Lawrence
CHARLOTTE'S WEB,E.B. White
THE SWISS FAMILY ROBINSON,Johann David Wyss
BLEAK HOUSE,Charles Dickens
PÈRE GORIOT,Honoré de Balzac
UTOPIA,Thomas More
"THE HISTORY OF TOM JONES, A FOUNDLING",Henry Fielding
HARRY POTTER AND THE PRISONER OF AZKABAN,J.K. Rowling
KIM,Rudyard Kipling
THE SOUND AND THE FURY,William Faulkner
HARRY POTTER AND THE GOBLET OF FIRE,J.K. Rowling
THE MILL ON THE FLOSS,George Eliot
A WRINKLE IN TIME,Madeleine L'Engle
THE HOUND OF THE BASKERVILLES,Arthur Conan Doyle
THE TWO TOWERS,J.R.R. Tolkien
THE WAR OF THE WORLDS,H.G. Wells
MIDDLEMARCH,George Eliot
THE AGE OF INNOCENCE,Edith Wharton
THE COLOR PURPLE,Alice Walker
NORTHANGER ABBEY,Jane Austen
EAST OF EDEN,John Steinbeck
ON THE ROAD,Jack Kerouac
CATCH-22,Joseph Heller
AROUND THE WORLD IN EIGHTY DAYS,Jules Verne
HARD TIMES,Charles Dickens
BELOVED,Toni Morrison
MRS. DALLOWAY,Virginia Woolf
TO THE LIGHTHOUSE,Virginia Woolf
THE MAGICIAN'S NEPHEW,C.S. Lewis
HARRY POTTER AND THE ORDER OF THE PHOENIX,J.K. Rowling
THE SUN ALSO RISES,Ernest Hemingway
THE GOOD EARTH,Pearl S. Buck
SILAS MARNER,George Eliot
LOVE IN THE TIME OF CHOLERA,Gabriel García Márquez
REBECCA,Daphne Du Maurier
JUDE THE OBSCURE,Thomas Hardy
TWILIGHT,Stephenie Meyer
A PASSAGE TO INDIA,E.M. Forster
THE PLAGUE,Albert Camus
NICHOLAS NICKLEBY,Charles Dickens
THE PEARL,John Steinbeck
ETHAN FROME,Edith Wharton
THE TALE OF GENJI,Murasaki Shikibu
THE GIVER,Lois Lowry
THE ALCHEMIST,Paulo Coelho
THE STRANGE CASE OF DR. JEKYLL AND MR. HYDE,Robert Louis Stevenson
ROBINSON CRUSOE,Daniel Defoe
TENDER IS THE NIGHT,F. Scott Fitzgerald
THE IDIOT,Fyodor Dostoyevsky
HATCHET,Gary Paulsen
THE KITE RUNNER,Khaled Hosseini
ONE FLEW OVER THE CUCKOO'S NEST,Ken Kesey
THE PORTRAIT OF A LADY,Henry James
THE OUTSIDERS,S.E. Hinton
BEN-HUR,Lew Wallace
THE MAYOR OF CASTERBRIDGE,Thomas Hardy
"CRY, THE BELOVED COUNTRY",Alan Paton
THE LAST BATTLE,C.S. Lewis
CAPTAINS COURAGEOUS,Rudyard Kipling
THE CASTLE,Franz Kafka
THE METAMORPHOSIS,Franz Kafka
THE MAGIC MOUNTAIN,Thomas Mann
JAMES AND THE GIANT PEACH,Roald Dahl
THE HORSE AND HIS BOY,C.S. Lewis
ANGELS & DEMONS,Dan Brown
THE VOYAGE OF THE DAWN TREADER,C.S. Lewis
THE BELL JAR,Sylvia Plath
WOMEN IN LOVE,D.H. Lawrence
THE YEARLING,Marjorie Kinnan Rawlings
O PIONEERS!,Willa Cather
THE HANDMAID'S TALE,Margaret Atwood
THE MOONSTONE,Wilkie Collins
THE OLD CURIOSITY SHOP,Charles Dickens
LITTLE DORRIT,Charles Dickens
PRINCE CASPIAN: THE RETURN TO NARNIA,C.S. Lewis
SISTER CARRIE,Theodore Dreiser
THE SILVER CHAIR,C.S. Lewis
THE HUNGER GAMES,Suzanne Collins
THIS SIDE OF PARADISE,F. Scott Fitzgerald
EUGÉNIE GRANDET,Honoré de Balzac
OF HUMAN BONDAGE,W. Somerset Maugham
DREAM OF THE RED CHAMBER,Cao Xueqin
LIFE OF PI,Yann Martel
HARRY POTTER AND THE DEATHLY HALLOWS,J.K. Rowling
INVISIBLE MAN,Ralph Ellison
STEPPENWOLF,Hermann Hesse
THE SORROWS OF YOUNG WERTHER,Johann Wolfgang von Goethe
BRIDGE TO TERABITHIA,Katherine Paterson
THE INVISIBLE MAN,H.G. Wells
HOLES,Louis Sachar
SIDDHARTHA,Hermann Hesse
A TREE GROWS IN BROOKLYN,Betty Smith
"THROUGH THE LOOKING-GLASS, AND WHAT ALICE FOUND THERE",Lewis Carroll
IN COLD BLOOD,Truman Capote
THE HOUSE OF THE SPIRITS,Isabel Allende
ADAM BEDE,George Eliot
THE BETROTHED,Alessandro Manzoni
THE BOOK THIEF,Markus Zusak
THEIR EYES WERE WATCHING GOD,Zora Neale Hurston
ONE DAY IN THE LIFE OF IVAN DENISOVICH,Aleksandr Isaevich Solzhenitsyn
THE SEA WOLF,Jack London
CATCHING FIRE,Suzanne Collins
"ROLL OF THUNDER, HEAR MY CRY",Mildred D. Taylor
DEATH COMES FOR THE ARCHBISHOP,Willa Cather
THE HOUSE OF MIRTH,Edith Wharton
LIGHT IN AUGUST,William Faulkner
THE PICKWICK PAPERS,Charles Dickens
REMEMBRANCE OF THINGS PAST,Marcel Proust
BARCHESTER TOWERS AND THE WARDEN,Anthony Trollope
THE BRIDGE OF SAN LUIS REY,Thornton Wilder
THE HELP,Kathryn Stockett
MURDER ON THE ORIENT EXPRESS,Agatha Christie
THE LOVELY BONES,Alice Sebold
THE APPEAL,John Grisham
DOMBEY AND SON,Charles Dickens
SLAUGHTERHOUSE-FIVE,Kurt Vonnegut
AN AMERICAN TRAGEDY,Theodore Dreiser
THE BLUEST EYE,Toni Morrison
LITTLE HOUSE IN THE BIG WOODS,Laura Ingalls Wilder
PIPPI LONGSTOCKING,Astrid Lindgren
GERMINAL,Émile Zola
THE HEART IS A LONELY HUNTER,Carson McCullers
THE WOMAN IN WHITE,Wilkie Collins
"ABSALOM, ABSALOM!",William Faulkner
A PAINTED HOUSE,John Grisham
THE GIRL WITH THE DRAGON TATTOO,Stieg Larsson
A ROOM WITH A VIEW,E.M. Forster
WATERSHIP DOWN,Richard Adams
MEMOIRS OF A GEISHA,Arthur Golden
OUR MUTUAL FRIEND,Charles Dickens
BABBITT,Sinclair Lewis
THE RED PONY,John Steinbeck
ALL THE KING'S MEN,Robert Penn Warren
THINGS FALL APART,Chinua Achebe
LORNA DOONE,R.D. Blackmore
JOHNNY TREMAIN,Esther Forbes
ANNE OF AVONLEA,L.M. Montgomery
TUCK EVERLASTING,Natalie Babbitt
THE BFG,Roald Dahl
CANNERY ROW,John Steinbeck
THE JOY LUCK CLUB,Amy Tan
THE SILMARILLION,J.R.R. Tolkien
ROOTS,Alex Haley
LITTLE HOUSE ON THE PRAIRIE,Laura Ingalls Wilder
NATIVE SON,Richard Wright
STUART LITTLE,E.B. White
CROSS FIRE,James Patterson
THE POWER AND THE GLORY,Graham Greene
A CLOCKWORK ORANGE,Anthony Burgess
THE PHANTOM OF THE OPERA,Gaston Leroux
THE MARTIAN CHRONICLES,Ray Bradbury
THE ROAD,Cormac McCarthy
THE WAY OF ALL FLESH,Samuel Butler
DIARY OF A WIMPY KID: THE LONG HAUL,Jeff Kinney
VILLETTE,Charlotte Brontë
THE CURIOUS INCIDENT OF THE DOG IN THE NIGHT-TIME,Mark Haddon
THE MYSTERIOUS ISLAND,Jules Verne
SONG OF SOLOMON,Toni Morrison
NANA,Émile Zola
QUO VADIS,Henryk Sienkiewicz
MAIN STREET,Sinclair Lewis
MATILDA,Roald Dahl
LOLITA,Vladimir Vladimirovich Nabokov
PAPER TOWNS,John Green
SOUNDER,William H. Armstrong
"ARE YOU THERE GOD? IT'S ME, MARGARET",Judy Blume
THE NOTEBOOK,Nicholas Sparks
FROM THE MIXED-UP FILES OF MRS. BASIL E. FRANKWEILER,E.L. Konigsburg
ATLAS SHRUGGED,Ayn Rand
THE FOUNTAINHEAD,Ayn Rand
NUMBER THE STARS,Lois Lowry
THE FIRM,John Grisham
SWANN'S WAY,Marcel Proust
ENDER'S GAME,Orson Scott Card
THE NAME OF THE ROSE,Umberto Eco
A TIME TO KILL,John Grisham
WATER FOR ELEPHANTS,Sara Gruen
THE TIME MACHINE,H.G. Wells
ERAGON,Christopher Paolini
THE HITCHHIKER'S GUIDE TO THE GALAXY,Douglas Adams
BUDDENBROOKS,Thomas Mann
A THOUSAND SPLENDID SUNS,Khaled Hosseini
THE WITCH OF BLACKBIRD POND,Elizabeth George Speare
AND THEN THERE WERE NONE,Agatha Christie
A SEPARATE PEACE,John Knowles
BREAKING DAWN,Stephenie Meyer
AS I LAY DYING,William Faulkner
THE GIRL WHO PLAYED WITH FIRE,Stieg Larsson
WHERE THE RED FERN GROWS,Wilson Rawls
LE MORTE D'ARTHUR,Thomas Malory
MOCKINGJAY,Suzanne Collins
THE PILLARS OF THE EARTH,Ken Follett
PERSIAN LETTERS,Montesquieu
THE CLIENT,John Grisham
SULA,Toni Morrison
TALES OF A FOURTH GRADE NOTHING,Judy Blume
THE MERRY ADVENTURES OF ROBIN HOOD OF GREAT RENOWN IN NOTTINGHAMSHIRE,Howard Pyle
TORTILLA FLAT,John Steinbeck
"LOOK HOMEWARD, ANGEL",Thomas Wolfe
THE MYSTERY OF EDWIN DROOD,Charles Dickens
BRIDESHEAD REVISITED,Evelyn Waugh
THE PELICAN BRIEF,John Grisham
ATONEMENT,Ian McEwan
WASHINGTON SQUARE,Henry James
LIKE WATER FOR CHOCOLATE,Laura Esquivel
THE GOLDEN COMPASS,Philip Pullman
THE SECRET LIFE OF BEES,Sue Monk Kidd
THE FAULT IN OUR STARS,John Green
NOSTROMO,Joseph Conrad
FINNEGANS WAKE,James Joyce
THE BRETHREN,John Grisham
CORALINE,Neil Gaiman
HEART OF DARKNESS,Joseph Conrad
ON THE BANKS OF PLUM CREEK,Laura Ingalls Wilder
REBECCA OF SUNNYBROOK FARM,Kate Douglas Smith Wiggin
THE AMBASSADORS,Henry James
THE SECRET AGENT,Joseph Conrad
THE HOUSE ON MANGO STREET,Sandra Cisneros
GO TELL IT ON THE MOUNTAIN,James Baldwin
THE TESTAMENT,John Grisham
THE CLAN OF THE CAVE BEAR,Jean M. Auel
CRANFORD,Elizabeth Cleghorn Gaskell
BECAUSE OF WINN-DIXIE,Kate DiCamillo
MY SIDE OF THE MOUNTAIN,Jean Craighead George
THE RUNAWAY JURY,John Grisham
THE MOUSE AND THE MOTORCYCLE,Beverly Cleary
THE LOST SYMBOL,Dan Brown
THE FORSYTE SAGA,John Galsworthy
GONE GIRL,Gillian Flynn
THE LIGHTNING THIEF,Rick Riordan
THE LAST DAYS OF POMPEII,Edward Bulwer Lytton
THE READER,Bernhard Schlink
CADDIE WOODLAWN,Carol Ryrie Brink
THE TALE OF DESPEREAUX,Kate DiCamillo
THE GIRL WHO KICKED THE HORNET'S NEST,Stieg Larsson
DEAR MR. HENSHAW,Beverly Cleary
THE KILLER ANGELS,Michael Shaara
CHRONICLE OF A DEATH FORETOLD,Gabriel García Márquez
THE FIVE PEOPLE YOU MEET IN HEAVEN,Mitch Albom
THE MASTER AND MARGARITA,Mikhail Bulgakov
"WINESBURG, OHIO",Sherwood Anderson
"""P"" IS FOR PERIL",Sue Grafton
MY SISTER'S KEEPER,Jodi Picoult
BARNABY RUDGE,Charles Dickens
HOWARDS END,E.M. Forster
THE BROKER,John Grisham
THE CAMEL CLUB,David Baldacci
THE RAINBOW,D.H. Lawrence
THE MAN IN THE IRON MASK,Alexandre Dumas
MARY POPPINS,P.L. Travers
ARTEMIS FOWL,Eoin Colfer
DEAR JOHN,Nicholas Sparks
COLD MOUNTAIN,Charles Frazier
FLOWERS FOR ALGERNON,Daniel Keyes
THE DARK IS RISING,Susan Cooper
RESURRECTION,Leo Tolstoy
FEARLESS FOURTEEN,Janet Evanovich
A SENTIMENTAL JOURNEY THROUGH FRANCE AND ITALY,Laurence Sterne
THE KING OF TORTS,John Grisham
THE GRAVEYARD BOOK,Neil Gaiman
THE QUIET AMERICAN,Graham Greene
THE CHAMBER,John Grisham
THE ENGLISH PATIENT,Michael Ondaatje
SNOW FALLING ON CEDARS,David Guterson
THE LONG WINTER,Laura Ingalls Wilder
"SARAH, PLAIN AND TALL",Patricia MacLachlan
CROSS COUNTRY,James Patterson
THE SPY WHO CAME IN FROM THE COLD,John Le Carré
A GAME OF THRONES,George R.R. Martin
THE THORN BIRDS,Colleen McCullough
OLD YELLER,Fred Gipson
"RAMONA QUIMBY, AGE 8",Beverly Cleary
DEATH IN VENICE,Thomas Mann
BY THE SHORES OF SILVER LAKE,Laura Ingalls Wilder
INFERNO,Dan Brown
SCHINDLER'S LIST,Thomas Keneally
JONATHAN LIVINGSTON SEAGULL,Richard Bach
THE STAND,Stephen King
THE LAST JUROR,John Grisham
SHILOH,Phyllis Reynolds Naylor
GIRL WITH A PEARL EARRING,Tracy Chevalier
THE MURDER OF ROGER ACKROYD,Agatha Christie
IT,Stephen King
THE RAINMAKER,John Grisham
THE POISONWOOD BIBLE,Barbara Kingsolver
THE INDIAN IN THE CUPBOARD,Lynne Reid Banks
THE MALTESE FALCON,Dashiell Hammett
THE WARDEN,Anthony Trollope
THE SUMMONS,John Grisham
ENCYCLOPEDIA BROWN: BOY DETECTIVE,Donald J. Sobol
THE TIME TRAVELER'S WIFE,Audrey Niffenegger
THE INCREDIBLE JOURNEY,Sheila Burnford
DAUGHTER OF FORTUNE,Isabel Allende
SHIRLEY,Charlotte Brontë
"BUD, NOT BUDDY",Christopher Paul Curtis
THE HORSE WHISPERER,Nicholas Evans
THE STREET LAWYER,John Grisham
NAUSEA,Jean-Paul Sartre
TO HAVE AND HAVE NOT,Ernest Hemingway
THE BRIDGES OF MADISON COUNTY,Robert James Waller
ANNE OF THE ISLAND,L.M. Montgomery
THE WINTER OF OUR DISCONTENT,John Steinbeck
THE SHINING,Stephen King
THE TENANT OF WILDFELL HALL,Anne Brontë
FIRST FAMILY,David Baldacci
THE PARTNER,John Grisham
THE GIRL ON THE TRAIN,Paula Hawkins
THE BLACK ARROW: A TALE OF THE TWO ROSES,Robert Louis Stevenson
THE RISE OF SILAS LAPHAM,William Dea Howells
THE CHOICE,Nicholas Sparks
THE VIRGINIAN: A HORSEMAN OF THE PLAINS,Owen Wister
A WALK TO REMEMBER,Nicholas Sparks
THE MAZE RUNNER,James Dashner
THE WESTING GAME,Ellen Raskin
MISTY OF CHINCOTEAGUE,Marguerite Henry
DIARY OF A WIMPY KID: THE LAST STRAW,Jeff Kinney
KING SOLOMON'S MINES,H. Rider Haggard
THE PRINCESS OF CLEVES,Madame de (Marie-Madeleine Pioche de La Vergne) La Fayett
JACOB HAVE I LOVED,Katherine Paterson
MRS. FRISBY AND THE RATS OF NIMH,Robert C. O'Brien
MISERY,Stephen King
THE CIDER HOUSE RULES,John Irving
KING OF THE WIND,Marguerite Henry
THE ONCE AND FUTURE KING,T. H. White
THE WITCHES,Roald Dahl
THE SUBTLE KNIFE,Philip Pullman
WHEN YOU REACH ME,Rebecca Stead
CARRIE,Stephen King
THE MOON AND SIXPENCE,W. Somerset Maugham
THE HIGHER POWER OF LUCKY,Susan Patron
"LOOKING BACKWARD, 2000-1887",Edward Bellamy
THE WINGS OF THE DOVE,Henry James
THE SUMMER OF THE SWANS,Betsy Cromer Byars
DANGEROUS LIAISONS,Choderlos de Laclos
JURASSIC PARK,Michael Crichton
THE ABSOLUTELY TRUE DIARY OF A PART-TIME INDIAN,Sherman Alexie
THE GREY KING,Susan Cooper
THE LEOPARD,Giuseppe Tomasi di Lampedusa
THE MAMMOTH HUNTERS,Jean M. Auel
THE TRUMPET OF THE SWAN,E.B. White
THE LUCKY ONE,Nicholas Sparks
THESE HAPPY GOLDEN YEARS,Laura Ingalls Wilder
ARROWSMITH,Sinclair Lewis
JULIE OF THE WOLVES,Jean Craighead George
THE SCREWTAPE LETTERS,C.S. Lewis
THE FALL,Albert Camus
THE NO. 1 LADIES' DETECTIVE AGENCY,Alexander McCall Smith
WORST CASE,James Patterson
LOST HORIZON,James Hilton
THE GUNSLINGER,Stephen King
THE SLAVE DANCER,Paula Fox
HARRY POTTER AND THE HALF-BLOOD PRINCE,J.K. Rowling
INKHEART,Cornelia Funke
RAMONA AND HER FATHER,Beverly Cleary
INKSPELL,Cornelia Funke
RAMONA THE PEST,Beverly Cleary
WALK TWO MOONS,Sharon Creech
MISS PEREGRINE'S HOME FOR PECULIAR CHILDREN,Ransom Riggs
THE CHOCOLATE WAR,Robert Cormier
SOPHIE'S CHOICE,William Styron
LOOKING FOR ALASKA,John Green
BREAKFAST AT TIFFANY'S,Truman Capote
THE RAZOR'S EDGE,W. Somerset Maugham
DREAMCATCHER,Stephen King
ORLANDO,Virginia Woolf
THE THINGS THEY CARRIED,Tim O'Brien
LITTLE TOWN ON THE PRAIRIE,Laura Ingalls Wilder
NIGHTS IN RODANTHE,Nicholas Sparks
THE AMBER SPYGLASS,Philip Pullman
THE MIRACULOUS JOURNEY OF EDWARD TULANE,Kate DiCamillo
FLATLAND,Edwin A. Abbott
DIARY OF A WIMPY KID,Jeff Kinney
THE MEMORY KEEPER'S DAUGHTER,Kim Edwards
THE WEDDING,Nicholas Sparks
FRIED GREEN TOMATOES AT THE WHISTLE-STOP CAFE,Fannie Flagg
THE CRICKET IN TIMES SQUARE,George Selden
THE PHANTOM TOLLBOOTH,Norton Juster
ROB ROY,Walter Scott
THE DEATH OF IVAN ILYCH,Leo Tolstoy
ALEX CROSS'S TRIAL,James Patterson
KENILWORTH,Walter Scott
THE LIFE AND OPINIONS OF TRISTRAM SHANDY,Laurence Sterne
THE REMAINS OF THEDAY,Kazuo Ishiguro
"M.C. HIGGINS, THE GREAT",Virginia Hamilton
CALL IT COURAGE,Armstrong Sperry
GO SET A WATCHMAN,Harper Lee
BLEACHERS,John Grisham
ELIJAH OF BUXTON,Christopher Paul Curtis
SWIMSUIT,James Patterson
CAT'S CRADLE,Kurt Vonnegut
THE CAINE MUTINY,Herman Wouk
THE HEART OF THE MATTER,Graham Greene
"HARRIET, THE SPY",Louise Fitzhugh
DARKNESS AT NOON,Arthur Koestler
A PRAYER FOR OWEN MEANY,John Irving
THE GOD OF SMALL THINGS,Arundhati Roy
THE ASSOCIATE,John Grisham
THE SHACK,William P. Young
THE NAKED AND THE DEAD,Norman Mailer
THE SEA OF MONSTERS,Rick Riordan
STRANGER IN A STRANGE LAND,Robert A. Heinlein
VISION IN WHITE,Nora Roberts
THE WHIPPING BOY,Sid Fleischman
ROOM,Emma Donoghue
DECEPTION POINT,Dan Brown
